<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBRF-3.10;0;20100304;103009;8230.00000;1
SBRF-3.10;0;20100304;103009;8229.00000;1
SBRF-3.10;0;20100304;103009;8229.00000;1
SBRF-3.10;0;20100304;103009;8229.00000;4
SBRF-3.10;0;20100304;103009;8230.00000;4
SBRF-3.10;0;20100304;103009;8230.00000;1
SBRF-3.10;0;20100304;103009;8230.00000;15
SBRF-3.10;0;20100304;103009;8230.00000;28
SBRF-3.10;0;20100304;103009;8229.00000;1
SBRF-3.10;0;20100304;103010;8224.00000;50
SBRF-3.10;0;20100304;103010;8223.00000;50
SBRF-3.10;0;20100304;103010;8230.00000;18
SBRF-3.10;0;20100304;103010;8230.00000;1
SBRF-3.10;0;20100304;103010;8229.00000;8
SBRF-3.10;0;20100304;103010;8229.00000;20
SBRF-3.10;0;20100304;103010;8230.00000;2
SBRF-3.10;0;20100304;103010;8230.00000;2
SBRF-3.10;0;20100304;103010;8233.00000;1
SBRF-3.10;0;20100304;103010;8229.00000;5
SBRF-3.10;0;20100304;103010;8229.00000;10
SBRF-3.10;0;20100304;103011;8229.00000;4
SBRF-3.10;0;20100304;103011;8230.00000;1
SBRF-3.10;0;20100304;103011;8229.00000;28
SBRF-3.10;0;20100304;103011;8225.00000;42
SBRF-3.10;0;20100304;103011;8229.00000;1
SBRF-3.10;0;20100304;103011;8229.00000;1
SBRF-3.10;0;20100304;103011;8229.00000;1
SBRF-3.10;0;20100304;103011;8230.00000;8
SBRF-3.10;0;20100304;103011;8230.00000;1
SBRF-3.10;0;20100304;103011;8230.00000;10
SBRF-3.10;0;20100304;103011;8231.00000;8
SBRF-3.10;0;20100304;103011;8231.00000;1
SBRF-3.10;0;20100304;103011;8231.00000;3
SBRF-3.10;0;20100304;103011;8230.00000;1
SBRF-3.10;0;20100304;103011;8230.00000;4
SBRF-3.10;0;20100304;103011;8230.00000;6
SBRF-3.10;0;20100304;103011;8226.00000;25
SBRF-3.10;0;20100304;103011;8225.00000;15
SBRF-3.10;0;20100304;103011;8231.00000;1
SBRF-3.10;0;20100304;103012;8230.00000;1
SBRF-3.10;0;20100304;103012;8230.00000;3
SBRF-3.10;0;20100304;103012;8230.00000;10
SBRF-3.10;0;20100304;103012;8230.00000;1
SBRF-3.10;0;20100304;103012;8231.00000;5
SBRF-3.10;0;20100304;103012;8231.00000;2
SBRF-3.10;0;20100304;103012;8230.00000;9
SBRF-3.10;0;20100304;103012;8231.00000;1
SBRF-3.10;0;20100304;103012;8231.00000;4
SBRF-3.10;0;20100304;103012;8230.00000;5
SBRF-3.10;0;20100304;103012;8231.00000;3
SBRF-3.10;0;20100304;103012;8230.00000;5
SBRF-3.10;0;20100304;103012;8230.00000;13
SBRF-3.10;0;20100304;103012;8230.00000;1
SBRF-3.10;0;20100304;103012;8230.00000;27
SBRF-3.10;0;20100304;103012;8230.00000;10
SBRF-3.10;0;20100304;103012;8226.00000;35
SBRF-3.10;0;20100304;103012;8225.00000;28
SBRF-3.10;0;20100304;103012;8225.00000;20
SBRF-3.10;0;20100304;103013;8231.00000;4
SBRF-3.10;0;20100304;103013;8231.00000;18
SBRF-3.10;0;20100304;103013;8231.00000;2
SBRF-3.10;0;20100304;103013;8230.00000;5
SBRF-3.10;0;20100304;103013;8225.00000;1
SBRF-3.10;0;20100304;103013;8225.00000;53
SBRF-3.10;0;20100304;103013;8231.00000;1
SBRF-3.10;0;20100304;103013;8225.00000;20
SBRF-3.10;0;20100304;103014;8231.00000;3
SBRF-3.10;0;20100304;103014;8225.00000;10
SBRF-3.10;0;20100304;103014;8225.00000;14
SBRF-3.10;0;20100304;103014;8230.00000;2
SBRF-3.10;0;20100304;103014;8230.00000;4
SBRF-3.10;0;20100304;103014;8231.00000;1
SBRF-3.10;0;20100304;103014;8231.00000;10
SBRF-3.10;0;20100304;103014;8231.00000;15
SBRF-3.10;0;20100304;103014;8234.00000;10
SBRF-3.10;0;20100304;103014;8235.00000;25
SBRF-3.10;0;20100304;103014;8229.00000;1
SBRF-3.10;0;20100304;103015;8229.00000;2
SBRF-3.10;0;20100304;103015;8225.00000;1
SBRF-3.10;0;20100304;103015;8225.00000;5
SBRF-3.10;0;20100304;103015;8234.00000;1
SBRF-3.10;0;20100304;103015;8229.00000;1
SBRF-3.10;0;20100304;103016;8226.00000;2
SBRF-3.10;0;20100304;103016;8233.00000;8
SBRF-3.10;0;20100304;103016;8233.00000;1
SBRF-3.10;0;20100304;103016;8226.00000;1
SBRF-3.10;0;20100304;103016;8234.00000;3
SBRF-3.10;0;20100304;103017;8230.00000;10
SBRF-3.10;0;20100304;103017;8227.00000;4
SBRF-3.10;0;20100304;103017;8227.00000;4
SBRF-3.10;0;20100304;103017;8227.00000;8
SBRF-3.10;0;20100304;103017;8225.00000;1
SBRF-3.10;0;20100304;103017;8227.00000;10
SBRF-3.10;0;20100304;103017;8224.00000;1
SBRF-3.10;0;20100304;103017;8224.00000;1
SBRF-3.10;0;20100304;103017;8223.00000;1
